panel	context	model	fraction	compound	source_pair	reference_loss	predicted_loss	reference_rank	predicted_rank	reference_top	predicted_top	recovered	n_compounds	k	overlap	recall	recall_lower95	recall_upper95	random_expected_overlap	random_expected_recall	enrichment_over_random	random_overlap_lower95	random_overlap_upper95	random_selection_tail_probability	signed_spearman	signed_pearson	selected_reference_loss_mean	selected_reference_loss_min	selected_reference_loss_max	true_top_loss_mean	n_bootstrap	interpretation	measured_repeat_recall	measured_repeat_overlap	recall_difference_from_repeat	difference_lower95	difference_upper95
Figure6d	A_all_heldout	BF_Ridge100	0.05	Difenoconazole	assayworks_prod_25|assayworks_prod_27	0.07426449678082399	0.11476856643514492	49.0	28.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Dipropylene glycol	assayworks_prod_26|assayworks_prod_27	-0.05946698744335897	-0.028803803884029706	202.0	197.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Dolasetron	assayworks_prod_25|assayworks_prod_27	0.05976958162542703	0.0373970401786453	54.0	57.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Doravirine	assayworks_prod_26|assayworks_prod_30	-0.027730084604759134	-0.0185474866608129	149.0	174.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Eicosapentaenoic acid ethyl ester	assayworks_prod_25|assayworks_prod_27	-0.02305962188520292	-0.023973660026345735	138.0	190.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Eplerenone	assayworks_prod_26|assayworks_prod_30	-0.04496566953974356	-0.0035514549241473306	178.0	134.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Esfenvalerate	assayworks_prod_25|assayworks_prod_26	-0.0005665227392877073	0.053741981214527536	108.0	48.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Estradiol	assayworks_prod_25|assayworks_prod_27	-0.02600504112416417	0.014392208644583876	145.0	87.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Estragole	assayworks_prod_26|assayworks_prod_30	-0.07386771181895248	-0.04173331747983328	211.0	212.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Estramustine	assayworks_prod_25|assayworks_prod_27	0.09384551228604457	0.050278182624159826	39.0	50.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Ethacrynic acid	assayworks_prod_25|assayworks_prod_27	0.11255566784572127	0.14328232346830927	34.0	18.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Ethionamide	assayworks_prod_25|assayworks_prod_27	-0.002554897488891192	0.0018986385385403501	110.0	120.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Ethylene glycol	assayworks_prod_26|assayworks_prod_30	-0.03908538416136001	-0.02949703030394333	170.0	198.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Ethylvanillin	assayworks_prod_25|assayworks_prod_27	-0.04559945352915404	-0.0012835356987826486	180.0	131.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Etomidate	assayworks_prod_26|assayworks_prod_27	-0.05915742561868996	-0.02149301670291112	201.0	182.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Etoposide	assayworks_prod_25|assayworks_prod_26	-0.0053451614103455225	-0.021793718783262042	119.0	183.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Etoricoxib	assayworks_prod_25|assayworks_prod_27	-0.03041658939226812	-0.018398839622718533	155.0	173.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Etretinate	assayworks_prod_25|assayworks_prod_27	-0.0348862556443698	0.03451379944274645	161.0	59.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Famoxadone	assayworks_prod_25|assayworks_prod_26	0.09859862324336303	0.1294829001042166	37.0	24.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Fenhexamid	assayworks_prod_25|assayworks_prod_27	-0.03635881414663961	-0.026488179702257413	165.0	195.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Fesoterodine	assayworks_prod_26|assayworks_prod_27	0.15946570498382917	0.16835263864667724	22.0	14.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Flecainide	assayworks_prod_25|assayworks_prod_27	0.0640152315946593	0.02382161623506735	53.0	71.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Flonicamid	assayworks_prod_26|assayworks_prod_30	-0.0026432201536237196	0.011552903636472272	111.0	99.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Fluazinam	assayworks_prod_25|assayworks_prod_27	0.2579023234767205	0.22584821789081538	6.0	7.0	True	True	True																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Flutamide	assayworks_prod_25|assayworks_prod_26	0.11935803439954056	0.02223307784327813	33.0	75.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Furosemide	assayworks_prod_26|assayworks_prod_30	-0.08547085893434889	-0.03323454722841442	215.0	203.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Gemfibrozil	assayworks_prod_26|assayworks_prod_30	-0.017159983542734285	-0.006855891803267217	132.0	144.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Hexylresorcinol	assayworks_prod_25|assayworks_prod_27	-0.0629302291874436	-0.01484174295142747	205.0	166.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Hydroxychloroquine	assayworks_prod_25|assayworks_prod_27	0.1672545360347283	0.13293763996826585	20.0	21.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Hydroxyurea	assayworks_prod_26|assayworks_prod_30	-0.05034241755155548	-0.039020609735010314	193.0	208.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Imipramine	assayworks_prod_26|assayworks_prod_27	0.00014523238591528792	0.02311276825719294	104.0	73.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Indocyanine green	assayworks_prod_26|assayworks_prod_27	0.12098989797675094	0.06185950147234237	31.0	44.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Irinotecan	assayworks_prod_25|assayworks_prod_27	0.09187431036886098	0.13157746494771275	40.0	22.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Isoeugenol	assayworks_prod_25|assayworks_prod_27	-0.03643609248641608	-0.012186837079621022	166.0	160.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Isoniazid	assayworks_prod_26|assayworks_prod_30	-0.04115664961653342	-0.006928376474300489	174.0	145.0	False	False	False																									
