reporter_index,metric_index,reporter_slug,short_name,tier,metric,source_column,value,threshold,scaled_margin,passes
24,4,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,quantitative_proxy,Reliability,reliability,0.4110300664564122,0.3,0.15861438065201747,True
25,0,5xupre,5xUPRE,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7517535811802963,0.7,0.17251193726765457,True
25,1,5xupre,5xUPRE,quantitative_proxy,Rank,magnitude_spearman,0.8691121491121492,0.7,0.563707163707164,True
25,2,5xupre,5xUPRE,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.901870450508552,"[0.5, 1.5]",0.8037409010171039,True
25,3,5xupre,5xUPRE,quantitative_proxy,Top-5%,top5pct_recall,0.9,0.6,0.7500000000000001,True
25,4,5xupre,5xUPRE,quantitative_proxy,Reliability,reliability,0.4085795923758126,0.3,0.155113703394018,True
26,0,f-actin_phalloidin,Phalloidin*,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7509903596059767,0.7,0.1699678653532558,True
26,1,f-actin_phalloidin,Phalloidin*,quantitative_proxy,Rank,magnitude_spearman,0.7647367407367408,0.7,0.21578913578913614,True
26,2,f-actin_phalloidin,Phalloidin*,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.5555329806518493,"[0.5, 1.5]",0.11106596130369861,True
26,3,f-actin_phalloidin,Phalloidin*,quantitative_proxy,Top-5%,top5pct_recall,0.62,0.6,0.050000000000000044,True
26,4,f-actin_phalloidin,Phalloidin*,quantitative_proxy,Reliability,reliability,0.3996475172727066,0.3,0.14235359610386658,True
27,0,mitochondria_tomm70a,TOMM70A,quantitative_proxy,Recovery,ensemble_recoverability_r,0.749968655494523,0.7,0.16656218498174333,True
27,1,mitochondria_tomm70a,TOMM70A,quantitative_proxy,Rank,magnitude_spearman,0.8310551190551191,0.7,0.43685039685039706,True
27,2,mitochondria_tomm70a,TOMM70A,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8071671781490796,"[0.5, 1.5]",0.6143343562981591,True
27,3,mitochondria_tomm70a,TOMM70A,quantitative_proxy,Top-5%,top5pct_recall,0.8,0.6,0.5000000000000001,True
27,4,mitochondria_tomm70a,TOMM70A,quantitative_proxy,Reliability,reliability,0.3915349809035072,0.3,0.13076425843358172,True
28,0,lysosome_lamp1,LAMP1,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7512566414208901,0.7,0.17085547140296714,True
28,1,lysosome_lamp1,LAMP1,quantitative_proxy,Rank,magnitude_spearman,0.8246867246867248,0.7,0.415622415622416,True
28,2,lysosome_lamp1,LAMP1,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7882504923139584,"[0.5, 1.5]",0.5765009846279168,True
28,3,lysosome_lamp1,LAMP1,quantitative_proxy,Top-5%,top5pct_recall,0.72,0.6,0.3,True
28,4,lysosome_lamp1,LAMP1,quantitative_proxy,Reliability,reliability,0.4475988330251703,0.3,0.2108554757502433,True
29,0,autophagosome_atg101,ATG101,quantitative_proxy,Recovery,ensemble_recoverability_r,0.713638245878343,0.7,0.045460819594476856,True
29,1,autophagosome_atg101,ATG101,quantitative_proxy,Rank,magnitude_spearman,0.7562580362580363,0.7,0.18752678752678792,True
29,2,autophagosome_atg101,ATG101,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7354794724560444,"[0.5, 1.5]",0.4709589449120888,True
29,3,autophagosome_atg101,ATG101,quantitative_proxy,Top-5%,top5pct_recall,0.8,0.6,0.5000000000000001,True
29,4,autophagosome_atg101,ATG101,quantitative_proxy,Reliability,reliability,0.5696557950339326,0.3,0.38522256433418944,True
30,0,nuclear_speckles_srrm2,SRRM2,ranking_proxy,Recovery,ensemble_recoverability_r,0.865553630356042,0.7,0.5518454345201402,True
30,1,nuclear_speckles_srrm2,SRRM2,ranking_proxy,Rank,magnitude_spearman,0.8712907272907273,0.7,0.5709690909690911,True
30,2,nuclear_speckles_srrm2,SRRM2,ranking_proxy,Amplitude,magnitude_variance_ratio,0.4952132737175836,"[0.5, 1.5]",-0.009573452564832774,False
