method_id,reporter_slug,destination_screen,gene_macro_feature_pearson,gene_response_magnitude_spearman
gbdt,lipid_droplet_bodipy_live_cell_dye,Biohub_OPS0034,0.9175946724911532,0.9246208446208446
gbdt,lipid_droplet_bodipy_live_cell_dye,Biohub_OPS0066,0.9266322329640388,0.9492473052473052
gbdt,lipid_droplet_plin2,Biohub_OPS0022,0.3354008607566356,0.4647975087975088
gbdt,lipid_droplet_plin2,Biohub_OPS0065,0.2369168428316091,0.1465519345519345
gbdt,lysosome_lamp1,Biohub_OPS0011,0.7139505023757616,0.7396690396690396
gbdt,lysosome_lamp1,Biohub_OPS0012,0.7994169779121876,0.8029533829533829
gbdt,lysosome_lysotracker_live-cell_dye,Biohub_OPS0044,0.9179119604329268,0.967942303942304
gbdt,lysosome_lysotracker_live-cell_dye,Biohub_OPS0055,0.931174690524737,0.9926952686952688
gbdt,lysosome_lysotracker_live-cell_dye,Biohub_OPS0056,0.9275269297262032,0.9657098817098816
gbdt,mitochondria_chromalive_561_excitation,Biohub_OPS0063,0.4568373810810347,0.780928656928657
gbdt,mitochondria_chromalive_561_excitation,Biohub_OPS0075,0.706752995805194,0.8678329358329359
gbdt,mitochondria_tomm70a,Biohub_OPS0015,0.6132557114275793,0.6606228366228366
gbdt,mitochondria_tomm70a,Biohub_OPS0068,0.5608626285102218,0.485976557976558
gbdt,nuclear_speckles_srrm2,Biohub_OPS0036,0.6800782675078759,0.7663254943254943
gbdt,nuclear_speckles_srrm2,Biohub_OPS0061,0.5421859448154768,0.4272750085568336
gbdt,nuclei_nucleolive_live_cell_dye,Biohub_OPS0061,0.4175929249031469,0.7868088908088908
gbdt,nuclei_nucleolive_live_cell_dye,Biohub_OPS0062,0.4415009828905264,0.5135561135561135
gbdt,nucleolus-dfc_fbl,Biohub_OPS0041,0.4794938396662473,0.7457085377085377
gbdt,nucleolus-dfc_fbl,Biohub_OPS0062,0.4373977459035814,0.1483229083229083
gbdt,nucleolus-gc_npm3,Biohub_OPS0042,0.7329183854162693,0.7074130554130554
gbdt,nucleolus-gc_npm3,Biohub_OPS0058,0.6797974618772665,0.5297655857655857
gbdt,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0048,0.6296768289369842,0.7816047976047976
gbdt,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0069,0.2639587400917662,0.0701496341496341
gbdt,peroxisome_peroxi_spy650_live_cell_dye,Biohub_OPS0045,0.5852928006400665,0.6682362442362443
gbdt,peroxisome_peroxi_spy650_live_cell_dye,Biohub_OPS0057,0.6530523064235846,0.7893484413484414
gbdt,plasma_membrane_atp1b3,Biohub_OPS0032,0.7559149408092102,0.7506742986742987
gbdt,plasma_membrane_atp1b3,Biohub_OPS0071,0.7476801561812559,0.7112742872742873
gbdt,plasma_membrane_slc3a2,Biohub_OPS0003,0.9103921006123225,0.9028788748788747
gbdt,plasma_membrane_slc3a2,Biohub_OPS0004,0.9273098732034364,0.9193717993717994
gbdt,proteasome_psmb7,Biohub_OPS0029,0.6269742784400781,0.7204892044892045
gbdt,proteasome_psmb7,Biohub_OPS0070,0.5270543415099382,0.1132748332748332
gbdt,recycling_endosome_tfrc,Biohub_OPS0027,0.8265584868689378,0.934988998988999
gbdt,recycling_endosome_tfrc,Biohub_OPS0060,0.8773612541457018,0.9041693921693922
gbdt,trans-golgi_vamp3,Biohub_OPS0030,0.569165917734305,0.5471211671211671
gbdt,trans-golgi_vamp3,Biohub_OPS0059,0.5578999159236749,0.5007531807531808
catboost_multirmse,5xupre,Biohub_OPS0001,0.7836427539587021,0.785970365970366
catboost_multirmse,5xupre,Biohub_OPS0005,0.770911754667759,0.738068694068694
catboost_multirmse,5xupre,Biohub_OPS0006,0.7519995212554932,0.7064209544209544
catboost_multirmse,5xupre,Biohub_OPS0007,0.7065662801265716,0.7495636855636856
catboost_multirmse,5xupre,Biohub_OPS0008,0.7527110725641251,0.7328388728388728
catboost_multirmse,5xupre,Biohub_OPS0009,0.7327123299241066,0.6626120306120307
catboost_multirmse,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0033,0.8916624424358209,0.8738835578835579
catboost_multirmse,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0065,0.8905290762583414,0.8896445416445417
catboost_multirmse,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0072,0.9032901637256144,0.8970744450744451
catboost_multirmse,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0074,0.8984392546117306,0.919883371883372
catboost_multirmse,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0076,0.8545032391945521,0.8740858780858781
catboost_multirmse,autophagosome_atg101,Biohub_OPS0031,0.718248105297486,0.6662413262413263
catboost_multirmse,autophagosome_atg101,Biohub_OPS0054,0.6910353588561217,0.6387262587262588
catboost_multirmse,autophagosome_map1lc3b,Biohub_OPS0016,0.6784574600557486,0.4914978474978475
catboost_multirmse,autophagosome_map1lc3b,Biohub_OPS0017,0.6922528153906266,0.5682618762618763
catboost_multirmse,autophagosome_map1lc3b,Biohub_OPS0040,0.7093366549815983,0.7118858318858319
catboost_multirmse,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0050,0.5631760836889347,0.5551691791691792
catboost_multirmse,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0073,0.554484324529767,0.4412738852738853
catboost_multirmse,cell_proliferation_marker_mki67,Biohub_OPS0045,0.5529801044613123,0.5275552195552196
catboost_multirmse,cell_proliferation_marker_mki67,Biohub_OPS0057,0.588917026296258,0.5111806271806272
catboost_multirmse,chaperones_hspa1b,Biohub_OPS0028,0.8111968524754047,0.6592257112257113
catboost_multirmse,chaperones_hspa1b,Biohub_OPS0072,0.7256688376267751,0.5656122976122976
catboost_multirmse,chromalive_488_excitation,Biohub_OPS0002,0.6522083083788554,0.5283408123408123
catboost_multirmse,chromalive_488_excitation,Biohub_OPS0051,0.7069727753599485,0.7003730563730564
catboost_multirmse,chromatin_h2bc21,Biohub_OPS0064,0.6847137076159319,0.6643855123855124
catboost_multirmse,chromatin_h2bc21,Biohub_OPS0069,0.7579655808707079,0.7392180792180792
catboost_multirmse,clathrin_vesicles_clta,Biohub_OPS0018,0.8842733030517896,0.8735208455208455
catboost_multirmse,clathrin_vesicles_clta,Biohub_OPS0019,0.9173676297068596,0.9388789708789708
catboost_multirmse,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0053,0.256082798121497,0.6834982554982555
catboost_multirmse,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0064,0.3253926951438188,0.2346941706941707
catboost_multirmse,endosome_vps35,Biohub_OPS0013,0.7250377101202806,0.4307346347346347
catboost_multirmse,endosome_vps35,Biohub_OPS0025,0.7873995204766592,0.6949373149373149
catboost_multirmse,er_golgi_bridge_vapa,Biohub_OPS0020,0.8039401446779569,0.8758466518466519
catboost_multirmse,er_golgi_bridge_vapa,Biohub_OPS0021,0.8027589780588945,0.7800829320829321
catboost_multirmse,er_golgi_cope,Biohub_OPS0023,0.4172455714239428,0.6306500586500586
catboost_multirmse,er_golgi_cope,Biohub_OPS0074,0.4236122667789459,0.5116743916743917
catboost_multirmse,er_sec61b,Biohub_OPS0001,0.9271138658126196,0.8026259986259986
catboost_multirmse,er_sec61b,Biohub_OPS0005,0.8914518828193346,0.8153451233451233
catboost_multirmse,er_sec61b,Biohub_OPS0006,0.8023883265753587,0.7692041795117921
catboost_multirmse,er_sec61b,Biohub_OPS0007,0.7914262277384599,0.7331614931614931
catboost_multirmse,er_sec61b,Biohub_OPS0008,0.8722387862702211,0.7971448779277472
catboost_multirmse,er_sec61b,Biohub_OPS0009,0.8390479708711306,0.7724883044883045
catboost_multirmse,fe2+_ferhonox_live-cell_dye,Biohub_OPS0047,0.2633933550678193,0.4161121521121521
catboost_multirmse,fe2+_ferhonox_live-cell_dye,Biohub_OPS0067,0.2165889277045304,0.2235827955827956
catboost_multirmse,late_endosome_rab7a,Biohub_OPS0014,0.8911804730693499,0.8628085668085668
catboost_multirmse,late_endosome_rab7a,Biohub_OPS0026,0.8992257143060366,0.8993507513507514
