unit,split,entity_id,rank_low_to_high,rank_percentile,consensus_ko_pearson,q25,q75,difficulty
Reporter,Gene,microtubules_tubulin,18,33.33333333333333,0.71860714521673,0.6918253014485042,0.7233360155899492,Intermediate (0.60–0.75)
Reporter,Gene,nuclei_hoechst,19,35.29411764705882,0.7314091514050961,0.7196403332302967,0.7497251252084971,Intermediate (0.60–0.75)
Reporter,Gene,lysosome_lamp1,20,37.25490196078431,0.7367389331261318,0.7267673581838607,0.7457144187763333,Intermediate (0.60–0.75)
Reporter,Gene,mitochondria_tomm70a,21,39.2156862745098,0.7389631509780884,0.7300273325915138,0.7492019094526767,Intermediate (0.60–0.75)
Reporter,Gene,f-actin_phalloidin,22,41.17647058823529,0.7399577975273133,0.7194705490643779,0.745590595735444,Intermediate (0.60–0.75)
Reporter,Gene,plasma_membrane_wga,23,43.13725490196078,0.7419182704554664,0.7232072096318006,0.748581926814384,Intermediate (0.60–0.75)
Reporter,Gene,5xupre,24,45.09803921568627,0.7441053985059262,0.7408209896087646,0.7490266735851765,Intermediate (0.60–0.75)
Reporter,Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,25,47.05882352941176,0.7449175643424193,0.7266519443442423,0.7562059038008252,Intermediate (0.60–0.75)
Reporter,Gene,plasma_membrane_atp1b3,26,49.01960784313725,0.749630705267191,0.7330044320474068,0.7539384606294334,Intermediate (0.60–0.75)
Reporter,Gene,chromatin_h2bc21,27,50.98039215686274,0.757968520745635,0.7294836614901821,0.7722719497357806,Readable (≥0.75)
Reporter,Gene,chromalive_488_excitation,28,52.94117647058823,0.765586062396566,0.7334745656078061,0.7714992854123315,Readable (≥0.75)
Reporter,Gene,nucleolus-dfc_fbl,29,54.90196078431372,0.7793305455396573,0.7502533475557963,0.7951266796638568,Readable (≥0.75)
Reporter,Gene,peroxisome_peroxi_spy650_live_cell_dye,30,56.86274509803921,0.7845023048420747,0.764050043215199,0.8013533478602767,Readable (≥0.75)
Reporter,Gene,mitochondria_chromalive_561_excitation,31,58.8235294117647,0.792696370681127,0.7802858006209136,0.806920096774896,Readable (≥0.75)
Reporter,Gene,er_golgi_bridge_vapa,32,60.78431372549019,0.7998845250656208,0.7831930870190262,0.8127946112304926,Readable (≥0.75)
Reporter,Gene,er_sec61b,33,62.745098039215684,0.8011578214665254,0.7996831960976124,0.8083122065290809,Readable (≥0.75)
Reporter,Gene,endosome_vps35,34,64.70588235294117,0.8163044809053341,0.7986032559225956,0.8296439240997037,Readable (≥0.75)
Reporter,Gene,microtubules_map4,35,66.66666666666666,0.8168677599479754,0.7788503807658951,0.8203700067475438,Readable (≥0.75)
Reporter,Gene,nuclei_nucleolive_live_cell_dye,36,68.62745098039215,0.8201554869612058,0.7207894610551496,0.8381893428042531,Readable (≥0.75)
Reporter,Gene,nucleolus-gc_npm3,37,70.58823529411764,0.8214593877394993,0.7361166233817736,0.8265995272745688,Readable (≥0.75)
Reporter,Gene,chaperones_hspa1b,38,72.54901960784314,0.8219783624013265,0.8180346062406897,0.8268207647527258,Readable (≥0.75)
Reporter,Gene,er_golgi_cope,39,74.50980392156862,0.8243623409420252,0.8170432231078546,0.8316384548942248,Readable (≥0.75)
Reporter,Gene,nuclear_speckles_srrm2,40,76.47058823529412,0.8493885807693005,0.8312417624518276,0.8690576036771138,Readable (≥0.75)
Reporter,Gene,recycling_endosome_tfrc,41,78.4313725490196,0.8625896345824002,0.8503777942930659,0.8787664088110129,Readable (≥0.75)
Reporter,Gene,fe2+_ferhonox_live-cell_dye,42,80.3921568627451,0.871222957285742,0.7575910921567507,0.9037201910590134,Readable (≥0.75)
Reporter,Gene,autophagosome_map1lc3b,43,82.35294117647058,0.889691340426604,0.8146069689343374,0.8974074385439357,Readable (≥0.75)
Reporter,Gene,clathrin_vesicles_clta,44,84.31372549019608,0.9066772521783908,0.9027985197802384,0.91540314933906,Readable (≥0.75)
Reporter,Gene,plasma_membrane_slc3a2,45,86.27450980392156,0.9073366475601992,0.9066311087459328,0.9120115866263708,Readable (≥0.75)
Reporter,Gene,actin_filament_fastact_spy555_live_cell_dye,46,88.23529411764706,0.9096364724139372,0.904576336281995,0.917374079550306,Readable (≥0.75)
