reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.8100131207326371,0.491094238791797,0.8792889512889513,0.8830879531925239,0.78,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8100131207326371,0.491094238791797,0.8902374262374264,0.8920998595156459,0.74,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromalive_488_excitation,ChromaLIVE 488 excitation,checkpoint_average,coherent_median_ensemble,common_control,0.7746614618872988,0.3255015696911665,0.8282332562332563,0.8162227429190113,0.72,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromalive_488_excitation,ChromaLIVE 488 excitation,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7746614618872988,0.3255015696911665,0.8022367062367063,0.8552883488704003,0.74,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromatin_h2bc21,H2BC21,checkpoint_average,coherent_median_ensemble,common_control,0.7667328332766999,0.580774506626757,0.8261045621045622,0.6179623875051499,0.74,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromatin_h2bc21,H2BC21,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7667328332766999,0.580774506626757,0.8223082023082023,0.6148162200816683,0.74,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_atp1b3,ATP1B3,checkpoint_average,coherent_median_ensemble,common_control,0.7553579532449393,0.5016975413704213,0.787051375051375,0.810088999533144,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_atp1b3,ATP1B3,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7553579532449393,0.5016975413704213,0.7695640455640457,0.7959219395495822,0.78,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,checkpoint_average,coherent_median_ensemble,common_control,0.7581907603760247,0.4110300664564122,0.7996151716151716,0.9039930888567944,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7581907603760247,0.4110300664564122,0.8188125748125749,0.9033365933223118,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
5xupre,5xUPRE,checkpoint_average,coherent_median_ensemble,common_control,0.7517535811802964,0.4085795923758126,0.8691121491121492,0.9018704505085519,0.9,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
