reporter_slug,short_name,run_state,biological_category,reliability,historical_reference_tier,method_id,method,recoverability_r,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
p21,p21*,checkpoint_average,Signaling,0.673271028808692,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.607962573219498,0.7383808383808383,0.2482938383826281,0.64,1000,1,1,ranking_proxy,True,True,False,True,False,True,True,True,False,recovery;variance_lower,
mitochondria_tomm20,TOMM20*,checkpoint_average,Mitochondria,0.4495396744921411,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.68048119072078,0.7201066441066442,0.4002878735877984,0.52,1000,1,1,ranking_proxy,True,True,False,True,False,True,False,True,False,recovery;variance_lower;quantitative_hit,
mitochondria_tomm20,TOMM20*,checkpoint_average,Mitochondria,0.4495396744921411,ranking_proxy,state_matched_hybrid,state_matched_hybrid,0.6805452726407832,0.7201066441066442,0.4002878735877984,0.52,1000,1,1,ranking_proxy,True,True,False,True,False,True,False,True,False,recovery;variance_lower;quantitative_hit,
p53,p53*,checkpoint_average,Signaling,0.6790572976946833,measurement_required,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.5697864287098249,0.6648243888243889,0.1358458864429194,0.4,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
p53,p53*,checkpoint_average,Signaling,0.6790572976946833,measurement_required,state_matched_hybrid,state_matched_hybrid,0.5694121292407759,0.6648243888243889,0.1358458864429194,0.4,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,checkpoint_average,Stress/PQC,0.3152966465946273,measurement_required,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.5755442526589225,0.5789962469962471,0.4672157078550862,0.42,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,checkpoint_average,Stress/PQC,0.3152966465946273,measurement_required,state_matched_hybrid,state_matched_hybrid,0.5774336585207089,0.5789962469962471,0.4672157078550862,0.42,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
ps6,pS6*,checkpoint_average,Signaling,0.3470813638953472,measurement_required,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.5775233318238557,0.6643925683925684,0.067433058982859,0.28,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
ps6,pS6*,checkpoint_average,Signaling,0.3470813638953472,measurement_required,state_matched_hybrid,state_matched_hybrid,0.5771234848795206,0.6643925683925684,0.067433058982859,0.28,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
prb,pRb*,checkpoint_average,Signaling,0.1509084849662904,not_identifiable,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.4474449838272993,0.7083289323289323,0.0169407424247728,0.6,1000,1,1,not_identifiable,False,False,False,True,False,True,True,True,True,reliability;recovery;variance_lower,reliability
prb,pRb*,checkpoint_average,Signaling,0.1509084849662904,not_identifiable,state_matched_hybrid,state_matched_hybrid,0.4353169554470207,0.7083289323289323,0.0169407424247728,0.6,1000,1,1,not_identifiable,False,False,False,True,False,True,True,True,True,reliability;recovery;variance_lower,reliability
nuclei_hoechst,Hoechst*,checkpoint_average,Nucleus,0.187063345712023,not_identifiable,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7314091514050961,0.670925242925243,0.6970531092744202,0.52,1000,1,1,not_identifiable,False,False,True,False,True,True,False,True,False,reliability;rank;quantitative_hit,reliability;rank
nuclei_hoechst,Hoechst*,checkpoint_average,Nucleus,0.187063345712023,not_identifiable,state_matched_hybrid,state_matched_hybrid,0.7313994299303064,0.670925242925243,0.6970531092744202,0.52,1000,1,1,not_identifiable,False,False,True,False,True,True,False,True,False,reliability;rank;quantitative_hit,reliability;rank
nucleoli_npm1,NPM1*,checkpoint_average,Nucleus,0.2156298259088717,not_identifiable,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.5333916893642809,0.4887014367014367,0.4743451980311171,0.42,1000,1,1,not_identifiable,False,False,False,False,False,True,False,False,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank;ranking_hit
nucleoli_npm1,NPM1*,checkpoint_average,Nucleus,0.2156298259088717,not_identifiable,state_matched_hybrid,state_matched_hybrid,0.5333562714938922,0.4887014367014367,0.4743451980311171,0.42,1000,1,1,not_identifiable,False,False,False,False,False,True,False,False,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank;ranking_hit
b-catenin,b-catenin*,checkpoint_average,Signaling,0.2160133604189748,not_identifiable,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.5556902340302865,0.6645843525843527,0.4643259821575786,0.5,1000,1,1,not_identifiable,False,False,False,False,False,True,False,True,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank
b-catenin,b-catenin*,checkpoint_average,Signaling,0.2160133604189748,not_identifiable,state_matched_hybrid,state_matched_hybrid,0.5516431365021572,0.6645843525843527,0.4643259821575786,0.5,1000,1,1,not_identifiable,False,False,False,False,False,True,False,True,True,reliability;recovery;rank;variance_lower;quantitative_hit,reliability;rank
