reporter_slug,short_name,display_label,biological_category,destination_screen,display_screen,metric,metric_label,value,reporter_order,status
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,CellEvent-Caspase,Stress/PQC,Biohub_OPS0050,OPS0050,consensus10_strict_gene_pearson,Recovery across screens,0.5623491830192506,28,stable_below
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,CellEvent-Caspase,Stress/PQC,Biohub_OPS0073,OPS0073,consensus10_strict_gene_pearson,Recovery across screens,0.5395899851185579,28,stable_below
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,CellEvent-Caspase,Stress/PQC,Biohub_OPS0050,OPS0050,consensus10_strict_magnitude_spearman,Rank across screens,0.6003669483669484,28,stable_below
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,CellEvent-Caspase,Stress/PQC,Biohub_OPS0073,OPS0073,consensus10_strict_magnitude_spearman,Rank across screens,0.4344548364548364,28,stable_below
proteasome_psmb7,PSMB7,PSMB7,Stress/PQC,Biohub_OPS0029,OPS0029,consensus10_strict_gene_pearson,Recovery across screens,0.6214668691779177,29,stable_below
proteasome_psmb7,PSMB7,PSMB7,Stress/PQC,Biohub_OPS0070,OPS0070,consensus10_strict_gene_pearson,Recovery across screens,0.5258980253711343,29,stable_below
proteasome_psmb7,PSMB7,PSMB7,Stress/PQC,Biohub_OPS0029,OPS0029,consensus10_strict_magnitude_spearman,Rank across screens,0.765444736574118,29,crosses_gate
proteasome_psmb7,PSMB7,PSMB7,Stress/PQC,Biohub_OPS0070,OPS0070,consensus10_strict_magnitude_spearman,Rank across screens,0.1015375555375555,29,crosses_gate
nucleolus-dfc_fbl,FBL,FBL,Nucleus,Biohub_OPS0041,OPS0041,consensus10_strict_gene_pearson,Recovery across screens,0.4528576314914971,30,stable_below
nucleolus-dfc_fbl,FBL,FBL,Nucleus,Biohub_OPS0062,OPS0062,consensus10_strict_gene_pearson,Recovery across screens,0.4041683645870458,30,stable_below
nucleolus-dfc_fbl,FBL,FBL,Nucleus,Biohub_OPS0041,OPS0041,consensus10_strict_magnitude_spearman,Rank across screens,0.7172912312912313,30,crosses_gate
nucleolus-dfc_fbl,FBL,FBL,Nucleus,Biohub_OPS0062,OPS0062,consensus10_strict_magnitude_spearman,Rank across screens,0.2640815040815041,30,crosses_gate
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,CellROX,Signaling,Biohub_OPS0048,OPS0048,consensus10_strict_gene_pearson,Recovery across screens,0.6310308797728794,31,stable_below
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,CellROX,Signaling,Biohub_OPS0069,OPS0069,consensus10_strict_gene_pearson,Recovery across screens,0.3141369120761131,31,stable_below
