gene,mean_response_percentile
CCNC,0.4315192307692308
CCND3,0.4848653846153846
CCNF,0.3151346153846154
CCNG1,0.5056730769230768
CCNH,0.5487884615384615
CCR2,0.3293269230769231
CCT3,0.6532884615384614
CCT4,0.7451730769230769
CCT6A,0.6752884615384614
CCT7,0.5698076923076922
CD164,0.4151730769230769
CD2BP2,0.46161538461538465
CD3EAP,0.4955192307692308
CD4,0.39907692307692305
CD5,0.39826923076923076
CD9,0.39940384615384616
CDC27,0.7429615384615385
CDC45,0.9257500000000001
CDC5L,0.6040961538461538
CDH15,0.3554999999999999
CDIPT,0.36051923076923076
CDK7,0.565173076923077
CENPA,0.5667307692307694
CENPC,0.6978461538461538
CENPH,0.5150192307692307
CENPW,0.4269423076923076
CEP135,0.4164038461538461
CEP350,0.5566346153846152
CEP55,0.5123653846153846
CEP85,0.5700576923076922
CERCAM,0.4615000000000001
CERS6,0.3748461538461539
CFL1,0.5262115384615383
CHD1,0.428
CHD4,0.5982692307692307
CHERP,0.503423076923077
CHMP1A,0.5630769230769231
CHMP2A,0.5254038461538462
CHMP4B,0.5859615384615385
CHMP4C,0.2883653846153846
CHMP5,0.44867307692307684
CHMP6,0.4703846153846154
CHMP7,0.4152692307692308
CHST12,0.35923076923076913
CHTF8,0.3683846153846153
CIAO1,0.39778846153846154
CIAPIN1,0.37988461538461543
CIT,0.3915
CLASP1,0.43040384615384614
CLDN15,0.42759615384615385
CLK3,0.29751923076923076
CMTR1,0.4354230769230769
CNOT1,0.7552500000000001
CNOT10,0.3739615384615384
CNOT11,0.33963461538461537
CNOT2,0.8415769230769231
CNOT4,0.49438461538461537
COA4,0.37592307692307697
COA5,0.4686730769230769
COG3,0.44448076923076935
COG4,0.4368653846153846
COG6,0.39575
COG7,0.3948846153846154
COG8,0.35523076923076924
COL18A1,0.4008846153846154
COL9A1,0.49103846153846153
COMMD4,0.5057884615384616
COMMD5,0.6730961538461538
COMTD1,0.533076923076923
COPA,0.8632692307692308
COPB1,0.8540192307692307
COPB2,0.7418461538461538
COPS2,0.5980961538461538
COPS3,0.47542307692307695
COPS4,0.5579999999999999
COPS5,0.5816923076923077
COPS6,0.46646153846153837
COPS8,0.4535961538461538
COPZ1,0.7628653846153847
COQ10B,0.40807692307692306
COQ4,0.45532692307692313
COQ7,0.44619230769230767
COX11,0.42074999999999996
COX14,0.5998653846153846
COX15,0.34696153846153843
COX7B,0.5991923076923077
COX7C,0.6841923076923077
CPOX,0.31326923076923074
CPSF2,0.5253653846153846
CPSF3,0.40676923076923077
CPSF6,0.3967307692307692
CRAT,0.41432692307692304
CREBBP,0.4091730769230769
CSE1L,0.7511153846153846
CSNK2A2,0.4180576923076924
CSNK2A3,0.4442884615384616
CTDSP1,0.32961538461538464
CTDSPL2,0.40780769230769237
CTPS2,0.3186538461538462
CTSG,0.5841153846153846
CTU1,0.4964615384615384
CTU2,0.3865384615384615
CUL1,0.5695384615384615
CUL2,0.4406730769230769
CYP26C1,0.42148076923076927
CYP2C18,0.34263461538461537
CYP4V2,0.3194615384615385
DAD1,0.40448076923076925
DARS,0.37388461538461537
DCAF11,0.5048076923076923
DCAF7,0.43503846153846154
DCTN4,0.4257115384615385
DCTN5,0.5265961538461539
DDB1,0.6908076923076922
DDI2,0.3818653846153846
DDOST,0.3142307692307693
DDRGK1,0.41355769230769235
DDX18,0.6357692307692309
DDX39B,0.4412884615384616
DDX46,0.4333461538461539
DDX47,0.5013076923076922
DDX52,0.5396153846153846
DENR,0.4444615384615386
DERL2,0.4174038461538462
DGCR8,0.40509615384615383
DGKD,0.3720384615384615
DHDDS,0.3420192307692308
DHRS9,0.33244230769230765
DHX30,0.4707499999999999
DHX9,0.6515576923076923
DIS3L2,0.4307115384615385
DLD,0.4081346153846154
DLG4,0.4105384615384615
DMRTC2,0.5956730769230769
DNAJA3,0.4362307692307693
DNAJC19,0.34340384615384606
DNASE1L1,0.297173076923077
DNMT1,0.3544807692307692
DPH2,0.3992307692307693
DPH3,0.3975576923076924
DRAP1,0.4455192307692307
DUT,0.4129230769230769
DYNC1H1,0.38744230769230764
DYNC1I2,0.4364807692307692
DYNC1LI1,0.3834230769230769
DYNC1LI2,0.3076923076923076
DYNLL1,0.5401153846153846
DYNLL2,0.27357692307692305
DYRK1A,0.35815384615384627
EBF1,0.3914615384615384
ECT2,0.8718076923076923
EFR3A,0.4028461538461539
EFTUD2,0.7872884615384615
EGFL7,0.3849230769230768
EIF1AD,0.37001923076923077
EIF2AK3,0.40565384615384625
EIF2B2,0.3457499999999999
EIF2B3,0.46338461538461534
EIF2B4,0.5077692307692308
EIF2B5,0.43788461538461537
EIF2S1,0.6689038461538463
EIF2S2,0.7335384615384615
EIF3A,0.5068846153846154
EIF3B,0.5026538461538462
EIF3L,0.33563461538461536
EIF3M,0.33926923076923077
EIF4A1,0.6062884615384616
EIF4G1,0.3166346153846154
EIF5B,0.3628076923076922
EIF6,0.6392307692307692
ELAC2,0.4614615384615384
ELAVL1,0.5745192307692307
ELOC,0.7549038461538461
ELOVL1,0.26451923076923073
ELP2,0.35342307692307684
ELP4,0.3385192307692308
EMC1,0.44176923076923075
EMC2,0.3932307692307692
EMC3,0.46649999999999997
EPB41L2,0.3860384615384615
EPRS,0.47351923076923075
ERCC3,0.43636538461538465
ERCC6,0.39778846153846165
ERN1,0.4235192307692307
ETHE1,0.32938461538461533
ETS1,0.34830769230769226
EXOC4,0.38007692307692315
EXOC5,0.4080384615384615
EXOC7,0.3823076923076923
EXOSC3,0.36725
EXOSC5,0.50225
EXOSC6,0.4349230769230769
EXOSC8,0.4801346153846154
F2,0.3924615384615384
FAM83H,0.5051346153846153
FANCC,0.4053846153846154
FANCG,0.41788461538461547
FANCM,0.4052307692307692
FARSA,0.3873076923076924
FARSB,0.5315000000000001
FAT1,0.3884423076923077
FAU,0.7068653846153846
FBXL4,0.4290384615384616
FBXW11,0.4931153846153847
FCGR1A,0.75675
FECH,0.38301923076923067
FGF1,0.4606538461538462
FGF23,0.41124999999999995
FGFR1OP,0.40273076923076917
FGFR1OP2,0.3206923076923077
FIGLA,0.42578846153846156
FJX1,0.430673076923077
FKBP9,0.4157115384615385
FLII,0.3114807692307693
FOXD4L1,0.8297115384615386
FOXD4L5,0.7768269230769232
FOXK1,0.30903846153846154
FOXL2,0.3958076923076923
FTH1,0.6389807692307692
FTL,0.5641730769230769
FTSJ3,0.6340576923076923
FUNDC2,0.3072884615384615
FZD9,0.37669230769230766
GABBR1,0.4489807692307692
GABRR3,0.47753846153846147
GAK,0.3956923076923078
GARS,0.5209038461538462
GBF1,0.7641923076923078
GGTLC2,0.6230384615384614
GINS1,0.5344423076923077
GINS2,0.39234615384615384
GLB1,0.38525000000000004
GMPPB,0.2945
GNG5,0.4366730769230769
GNL2,0.6759615384615384
GNL3,0.6607884615384616
GNL3L,0.6210961538461539
GNPNAT1,0.6022307692307692
GOLGA2,0.41925
GOLGA6D,0.7867692307692308
GOLGA6L1,0.9591730769230767
