method_id,method,split,reporter_slug,ko_pearson,split_label,method_color,method_order,method_family
gbdt,GBDT,gene_holdout_main,chromatin_h2bc21,0.7755406630535921,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,clathrin_vesicles_clta,0.917240047454834,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,early_endosome_eea1,0.9260197987159093,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7625339947640896,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,endosome_vps35,0.8337326812247434,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,er_cona,0.7087401295287742,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,er_golgi_bridge_vapa,0.8153327281276385,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,er_golgi_cop-ii_sec23a,0.9341115867098171,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,er_golgi_cope,0.8324196293950081,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,er_ncln,0.6605212616423766,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,er_sec61b,0.810712077965339,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,f-actin_phalloidin,0.7459227811959055,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,fe2+_ferhonox_live-cell_dye,0.9250634253025055,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,late_endosome_rab7a,0.9217804218331974,Gene,#5E88AD,2,Classical tabular
gbdt,GBDT,gene_holdout_main,lipid_droplet_bodipy_live_cell_dye,0.9251790242890516,Gene,#5E88AD,2,Classical tabular
