reporter_slug,control,metric,exact_minus_control
early_endosome_eea1,size_shape_only,Cell,0.4202722682928046
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,size_shape_only,Cell,0.4595739589383206
endosome_vps35,size_shape_only,Cell,0.5267432911942402
er_cona,size_shape_only,Cell,0.21968027696323883
er_golgi_bridge_vapa,size_shape_only,Cell,0.46236671749502417
er_golgi_cop-ii_sec23a,size_shape_only,Cell,0.41493648880471784
er_golgi_cope,size_shape_only,Cell,0.624669124186039
er_ncln,size_shape_only,Cell,0.25831782271464676
er_sec61b,size_shape_only,Cell,0.2840616294493277
f-actin_phalloidin,size_shape_only,Cell,0.2584858740835141
fe2+_ferhonox_live-cell_dye,size_shape_only,Cell,0.706796852995952
late_endosome_rab7a,size_shape_only,Cell,0.5734559920306007
lipid_droplet_bodipy_live_cell_dye,size_shape_only,Cell,0.41500063259154557
lipid_droplet_plin2,size_shape_only,Cell,0.6094265397638083
lysosome_lamp1,size_shape_only,Cell,0.47513614402463045
lysosome_lysotracker_live-cell_dye,size_shape_only,Cell,0.5872696358710527
microtubules_map4,size_shape_only,Cell,0.30269054211676116
microtubules_tubulin,size_shape_only,Cell,0.24602013498337744
mitochondria_chromalive_561_excitation,size_shape_only,Cell,0.47713369919608056
mitochondria_tomm20,size_shape_only,Cell,0.2344043141644862
mitochondria_tomm70a,size_shape_only,Cell,0.5519922757521272
nuclear_speckles_srrm2,size_shape_only,Cell,0.6842589166636269
nuclei_hoechst,size_shape_only,Cell,0.40819531078139953
nuclei_nucleolive_live_cell_dye,size_shape_only,Cell,0.5062868720541398
nucleoli_npm1,size_shape_only,Cell,0.2760509864168449
nucleolus-dfc_fbl,size_shape_only,Cell,0.6285284956917166
nucleolus-gc_npm3,size_shape_only,Cell,0.6302086789160967
oxidative_stress_cellrox_live-cell_dye,size_shape_only,Cell,0.5935482896864415
p21,size_shape_only,Cell,0.09544728095332777
p53,size_shape_only,Cell,0.185773492741088
peroxisome_peroxi_spy650_live_cell_dye,size_shape_only,Cell,0.6166689017787578
plasma_membrane_atp1b3,size_shape_only,Cell,0.43842018234233066
plasma_membrane_slc3a2,size_shape_only,Cell,0.351077514886856
plasma_membrane_wga,size_shape_only,Cell,0.23995771844767866
prb,size_shape_only,Cell,0.2002173425404665
proteasome_psmb7,size_shape_only,Cell,0.44490537233650695
ps6,size_shape_only,Cell,0.2677468399843201
recycling_endosome_tfrc,size_shape_only,Cell,0.6139328063776096
stress_granule_g3bp1,size_shape_only,Cell,0.4293297981222472
trans-golgi_vamp3,size_shape_only,Cell,0.3588928143183391
5xupre,size_shape_only,KO,0.4352544939517975
actin_filament_fastact_spy555_live_cell_dye,size_shape_only,KO,0.5608824715328713
autophagosome_atg101,size_shape_only,KO,0.4464007970294916
autophagosome_map1lc3b,size_shape_only,KO,0.6724566787520113
b-catenin,size_shape_only,KO,0.24173327234573677
c-myc,size_shape_only,KO,0.21902184588854046
caspase_activity_cellevent-caspase_live-cell_dye,size_shape_only,KO,0.33395906302852163
cell_proliferation_marker_mki67,size_shape_only,KO,0.5218612517928705
chaperones_hspa1b,size_shape_only,KO,0.4955770445560727
chromalive_488_excitation,size_shape_only,KO,0.5300666773109697
chromatin_h2bc21,size_shape_only,KO,0.4918459182454778
clathrin_vesicles_clta,size_shape_only,KO,0.4715669143013658
early_endosome_eea1,size_shape_only,KO,0.44931477454762614
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,size_shape_only,KO,0.47922272970123836
endosome_vps35,size_shape_only,KO,0.4747719180208757
er_cona,size_shape_only,KO,0.20736567727096078
er_golgi_bridge_vapa,size_shape_only,KO,0.4655150827020407
er_golgi_cop-ii_sec23a,size_shape_only,KO,0.5346508660591403
er_golgi_cope,size_shape_only,KO,0.5260159829631449
er_ncln,size_shape_only,KO,0.3292139467472831
er_sec61b,size_shape_only,KO,0.3070259415855011
f-actin_phalloidin,size_shape_only,KO,0.26405633252838423
fe2+_ferhonox_live-cell_dye,size_shape_only,KO,0.6848040170191477
late_endosome_rab7a,size_shape_only,KO,0.5877592696497838
lipid_droplet_bodipy_live_cell_dye,size_shape_only,KO,0.5192024509422482
lipid_droplet_plin2,size_shape_only,KO,0.5494579351924282
lysosome_lamp1,size_shape_only,KO,0.43575381487801973
lysosome_lysotracker_live-cell_dye,size_shape_only,KO,0.4776590348531804
microtubules_map4,size_shape_only,KO,0.3312099448715645
microtubules_tubulin,size_shape_only,KO,0.24969806530409394
mitochondria_chromalive_561_excitation,size_shape_only,KO,0.2707590430974961
mitochondria_tomm20,size_shape_only,KO,0.23216612043098506
mitochondria_tomm70a,size_shape_only,KO,0.5148673566329915
nuclear_speckles_srrm2,size_shape_only,KO,0.6479697093289968
nuclei_hoechst,size_shape_only,KO,0.3539389254649481
nuclei_nucleolive_live_cell_dye,size_shape_only,KO,0.7421034799966342
nucleoli_npm1,size_shape_only,KO,0.2663160460988163
nucleolus-dfc_fbl,size_shape_only,KO,0.6789633528096602
nucleolus-gc_npm3,size_shape_only,KO,0.7295187669345372
oxidative_stress_cellrox_live-cell_dye,size_shape_only,KO,0.5193367560840367
p21,size_shape_only,KO,0.15439769158760708
p53,size_shape_only,KO,0.19869646451591222
peroxisome_peroxi_spy650_live_cell_dye,size_shape_only,KO,0.5235427124716807
plasma_membrane_atp1b3,size_shape_only,KO,0.48592651386667673
plasma_membrane_slc3a2,size_shape_only,KO,0.34103053721288845
plasma_membrane_wga,size_shape_only,KO,0.23109413397808876
prb,size_shape_only,KO,0.203052171843301
proteasome_psmb7,size_shape_only,KO,0.3441602176520974
ps6,size_shape_only,KO,0.26363019395852466
recycling_endosome_tfrc,size_shape_only,KO,0.44272958703901794
stress_granule_g3bp1,size_shape_only,KO,0.37084891969958933
trans-golgi_vamp3,size_shape_only,KO,0.3590237584547141
5xupre,remove_size_shape,Cell,0.00027556419372565255
actin_filament_fastact_spy555_live_cell_dye,remove_size_shape,Cell,0.0003414002557595719
autophagosome_atg101,remove_size_shape,Cell,-0.0004742359121640005
autophagosome_map1lc3b,remove_size_shape,Cell,-0.00014586349328360448
b-catenin,remove_size_shape,Cell,-0.0022513571629921847
c-myc,remove_size_shape,Cell,-0.0018039227525392665
caspase_activity_cellevent-caspase_live-cell_dye,remove_size_shape,Cell,-0.0009532019495963606
cell_proliferation_marker_mki67,remove_size_shape,Cell,-0.0007072396576405238
chaperones_hspa1b,remove_size_shape,Cell,-0.0003377792735893559
chromalive_488_excitation,remove_size_shape,Cell,-0.0002820295592149691
chromatin_h2bc21,remove_size_shape,Cell,-0.0025758211811384157
