reporter_slug,arm,cell_pearson,gene_pearson
chromalive_488_excitation,remove_size_shape,0.7682351015508175,0.7770544230937958
chromalive_488_excitation,size_shape_only,0.1681614633649587,0.2481367303640581
chromatin_h2bc21,covariate_matched_deranged,0.2808420254538456,0.4516124567016959
chromatin_h2bc21,crossfit_gene_screen_residual,0.6300895884633064,
chromatin_h2bc21,exact_pair,0.6434166714549064,0.7792011243601641
chromatin_h2bc21,gene_screen_deranged,0.1140682763885706,0.3002603556301134
chromatin_h2bc21,remove_size_shape,0.6459924926360449,0.782320392380158
chromatin_h2bc21,size_shape_only,0.1928130982133248,0.2873552061146863
clathrin_vesicles_clta,covariate_matched_deranged,0.5564823759719729,0.6001544165114561
clathrin_vesicles_clta,crossfit_gene_screen_residual,0.8515491654475531,
clathrin_vesicles_clta,exact_pair,0.8764776892960071,0.919895940522353
clathrin_vesicles_clta,gene_screen_deranged,0.2559867480342897,0.3681219494804584
clathrin_vesicles_clta,remove_size_shape,0.8756193136175474,0.9195813288291296
clathrin_vesicles_clta,size_shape_only,0.4393242082869013,0.4483290262209872
early_endosome_eea1,covariate_matched_deranged,0.548659159988165,0.7180811673402786
early_endosome_eea1,crossfit_gene_screen_residual,0.8152466786404451,
early_endosome_eea1,exact_pair,0.8358397973080477,0.9277063076694808
early_endosome_eea1,gene_screen_deranged,0.2981351261308494,0.68566879988648
early_endosome_eea1,remove_size_shape,0.8347182636459669,0.9275051976243656
early_endosome_eea1,size_shape_only,0.4155675290152431,0.4783915331218547
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,covariate_matched_deranged,0.6882156898578009,0.4783181592123583
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,crossfit_gene_screen_residual,0.62280978312095,
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,exact_pair,0.8036594157417616,0.7598993336160977
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,gene_screen_deranged,0.6091929135223231,0.2641102821410944
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,remove_size_shape,0.8032393323878446,0.7556777656078338
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,size_shape_only,0.344085456803441,0.2806766039148594
endosome_vps35,covariate_matched_deranged,0.6334985561668873,0.5804909184575081
endosome_vps35,crossfit_gene_screen_residual,0.7593117468059063,
endosome_vps35,exact_pair,0.8326651627818743,0.8351465610166391
endosome_vps35,gene_screen_deranged,0.4729368293657899,0.2221786998677998
endosome_vps35,remove_size_shape,0.8323757057388624,0.8335620656609535
endosome_vps35,size_shape_only,0.305921871587634,0.3603746429957634
er_cona,covariate_matched_deranged,0.3707345651876594,0.5411851365015738
er_cona,crossfit_gene_screen_residual,0.5455096004737748,
er_cona,exact_pair,0.5566463968820041,0.7114657176865472
er_cona,gene_screen_deranged,0.0651713486510238,0.1639510853393908
er_cona,remove_size_shape,0.5552332840445968,0.708442652059926
er_cona,size_shape_only,0.3369661199187653,0.5041000404155864
er_golgi_bridge_vapa,covariate_matched_deranged,0.3879058979451656,0.5004866179389258
er_golgi_bridge_vapa,crossfit_gene_screen_residual,0.7434584592779478,
er_golgi_bridge_vapa,exact_pair,0.755747049426039,0.8204837463796139
er_golgi_bridge_vapa,gene_screen_deranged,0.1604540819030565,0.390772941665879
er_golgi_bridge_vapa,remove_size_shape,0.7554354354739189,0.8190540547172228
er_golgi_bridge_vapa,size_shape_only,0.2933803319310148,0.3549686636775732
er_golgi_cop-ii_sec23a,covariate_matched_deranged,0.5870121202121179,0.7051058846215407
er_golgi_cop-ii_sec23a,crossfit_gene_screen_residual,0.8264649537702402,
er_golgi_cop-ii_sec23a,exact_pair,0.8493763948480287,0.9360233217477798
er_golgi_cop-ii_sec23a,gene_screen_deranged,0.2615070451128606,0.625398172903806
er_golgi_cop-ii_sec23a,remove_size_shape,0.8481093173225721,0.935441746811072
