id,name,observedLoss,predictedLoss,observedRank,predictedRank,measuredSelected,predictedSelected,recovered
Methoxsalen,Methoxsalen,-0.02825455702301382,0.0027977956186457714,152.0,117.0,False,False,False
Methyl carbamate,Methyl carbamate,-0.005841517847949146,-0.011343678309617106,120.0,155.0,False,False,False
Metoclopramide,Metoclopramide,-0.02957854006925352,-0.021872601338849197,154.0,184.0,False,False,False
Monocrotaline,Monocrotaline,-0.046346511907767556,-0.0048745960732489695,184.0,139.0,False,False,False
Moxonidine,Moxonidine,-0.02206720352388808,-0.010121570137518007,137.0,153.0,False,False,False
"N,N-Dicyclohexylcarbodiimide(DCC)","N,N-Dicyclohexylcarbodiimide(DCC)",0.05075518734267227,0.07416136896618168,62.0,37.0,False,False,False
"N-(4-fluorophenyl)-N-isopropyl-2-((5-(trifluoromethyl)-1,3,4-thiadiazol-2-yl)oxy)acetamide","N-(4-fluorophenyl)-N-isopropyl-2-((5-(trifluoromethyl)-1,3,4-thiadiazol-2-yl)oxy)acetamide",-0.030932697292039325,-0.004518512514889145,156.0,138.0,False,False,False
N-Nitrosodiethylamine,N-Nitrosodiethylamine,0.007667105617946486,-0.04055907434475367,96.0,210.0,False,False,False
Niacin,Niacin,0.0013586801031361465,-0.0006467792737130142,102.0,128.0,False,False,False
Niflumic acid,Niflumic acid,-0.06620779174609458,-0.02877108735584057,206.0,196.0,False,False,False
Nisoldipine,Nisoldipine,-0.004154926246922923,0.027504358686543502,115.0,67.0,False,False,False
Nitrofurazone,Nitrofurazone,0.23103877247405658,0.2197870527359245,11.0,8.0,True,True,True
Norepinephrine,Norepinephrine,-0.04271234064430427,-0.01163289852160487,176.0,156.0,False,False,False
Norethindrone,Norethindrone,-0.03608599302453406,-0.014213239198383113,164.0,163.0,False,False,False
Olmesartan,Olmesartan,0.04297967028358711,0.013470058048606293,67.0,94.0,False,False,False
Omeprazole,Omeprazole,0.0422985444682232,0.013742292912286997,68.0,92.0,False,False,False
Oseltamivir,Oseltamivir,0.04486266475008882,0.041481462228051894,66.0,56.0,False,False,False
Osilodrostat,Osilodrostat,-0.018171128263508057,-0.0245227947534562,134.0,193.0,False,False,False
Oxadiazon,Oxadiazon,0.017897296588921918,-0.0039693354230302715,83.0,136.0,False,False,False
Oxyfluorfen,Oxyfluorfen,0.05241870091877123,0.01880807104228964,60.0,79.0,False,False,False
Ozagrel,Ozagrel,-0.0031435568479524015,0.023813702522213237,112.0,72.0,False,False,False
Pentagastrin,Pentagastrin,0.010281849625533919,-0.00629896291604606,92.0,143.0,False,False,False
Perindopril,Perindopril,-0.02630209814811097,-0.018851704772378953,146.0,176.0,False,False,False
Phenothiazine,Phenothiazine,-0.019598916604898965,-0.004464051851186593,135.0,137.0,False,False,False
Phenothrin,Phenothrin,-0.0527203822697418,-0.030467578489148255,194.0,199.0,False,False,False
Phentolamine,Phentolamine,0.054119724942290275,0.025824778894001945,58.0,68.0,False,False,False
Phenylephrine,Phenylephrine,-0.00830311371364454,0.001268730767271728,122.0,122.0,False,False,False
Pindolol,Pindolol,-0.05838319324496863,-0.011850775662263951,199.0,159.0,False,False,False
Pirinixic acid,Pirinixic acid,-0.021574962668228823,0.016151774889042216,136.0,85.0,False,False,False
Pralsetinib,Pralsetinib,0.236852008268993,0.1989137168381389,10.0,10.0,True,True,True
Prednisolone,Prednisolone,0.07617616688535699,0.013770685694503248,47.0,90.0,False,False,False
Probenecid,Probenecid,-0.03353540561553358,0.0008221861412751564,160.0,124.0,False,False,False
Probucol,Probucol,-0.05750158394052497,-0.022378153943842155,197.0,186.0,False,False,False
Prochloraz,Prochloraz,-0.023753105730250232,0.03336748121229577,140.0,62.0,False,False,False
Proguanil,Proguanil,0.19794713554606924,0.1751399064136804,15.0,13.0,False,False,False
Quinoxyfen,Quinoxyfen,0.05974360998126045,0.005696554459997645,55.0,113.0,False,False,False
Ramelteon,Ramelteon,-0.047974769053035875,-0.0074835162673672585,187.0,147.0,False,False,False
Relugolix,Relugolix,-0.009138331681058015,0.015303484637404215,123.0,86.0,False,False,False
Rifaximin,Rifaximin,0.07493545201377595,-0.008724959399832248,48.0,149.0,False,False,False
Rilpivirine,Rilpivirine,0.13450733035046986,0.09548903357217152,26.0,30.0,False,False,False
Risdiplam,Risdiplam,-0.0692489288639331,0.008232775982234647,209.0,105.0,False,False,False
Risperidone,Risperidone,0.26049369269226125,0.08170978813593706,5.0,35.0,True,False,False
Roxatidine,Roxatidine,0.018766862866671216,0.022381310868613207,81.0,74.0,False,False,False
Selinexor,Selinexor,0.35214057537740556,0.19188795734322261,4.0,11.0,True,True,True
Sildenafil,Sildenafil,0.047445563194544446,-0.013528627111309147,65.0,161.0,False,False,False
Simethicone,Simethicone,-0.04612001736202963,-0.03227575622519448,183.0,202.0,False,False,False
Siponimod,Siponimod,0.06509580792508265,0.08844373990144974,52.0,32.0,False,False,False
Sodium 2-((hydroxymethyl)amino)acetate,Sodium 2-((hydroxymethyl)amino)acetate,-0.04386645531200843,-0.060078341405601754,177.0,217.0,False,False,False
Sonidegib,Sonidegib,0.08283000768742702,0.06769676232884944,45.0,42.0,False,False,False
Spiroxamine,Spiroxamine,7.39560826965302e-05,0.04865431181811016,105.0,52.0,False,False,False
Succimer,Succimer,-0.03894890437199584,-0.030960427754044274,169.0,200.0,False,False,False
Succinic anhydride,Succinic anhydride,-0.04155148525276907,-0.021028997966818293,175.0,180.0,False,False,False
Sulfamethizole,Sulfamethizole,-0.01727091067511101,-0.021955496111487213,133.0,185.0,False,False,False
Tacrine,Tacrine,0.004421297811727606,0.04375848134136945,98.0,53.0,False,False,False
Tebuconazole,Tebuconazole,0.013201519468988204,0.07309702847653292,88.0,38.0,False,False,False
Tegaserod,Tegaserod,0.24606621305734946,0.23254608043877956,9.0,5.0,True,True,True
Telotristat ethyl,Telotristat ethyl,0.07146338087277139,0.12288350420079754,50.0,25.0,False,False,False
Temafloxacin,Temafloxacin,-0.026581607192106844,-0.017998726903993817,147.0,171.0,False,False,False
Teniposide,Teniposide,0.13151622701274313,0.07186605534115079,28.0,39.0,False,False,False
Tetraconazole,Tetraconazole,-0.035597513902230524,0.013746176157518507,163.0,91.0,False,False,False
Tetracycline,Tetracycline,0.00039797743269501945,0.006387383937609851,103.0,109.0,False,False,False
Theophylline,Theophylline,-0.03226670998054137,-0.03372521091581483,159.0,204.0,False,False,False
Tivozanib,Tivozanib,0.19725550091622965,0.13412260588407954,16.0,20.0,False,False,False
Tizanidine,Tizanidine,0.01650987581714341,0.03413777555250694,85.0,61.0,False,False,False
Tocainide,Tocainide,-0.08064901342858438,-0.016246759712796904,212.0,168.0,False,False,False
Tofacitinib,Tofacitinib,-0.05740743465181709,-0.023660552966597068,196.0,189.0,False,False,False
Tolmetin,Tolmetin,-0.0456144205038098,0.011655804506286196,181.0,98.0,False,False,False
Trabectedin,Trabectedin,0.8994912047443602,0.8919063245126488,1.0,1.0,True,True,True
Triclopyr,Triclopyr,-0.017097681355865077,0.017982886008470637,131.0,82.0,False,False,False
Trimetazidine,Trimetazidine,0.008986461421717773,0.0007857105984090118,95.0,125.0,False,False,False
Trimethoprim,Trimethoprim,0.012152589830583434,0.013128617996299632,89.0,95.0,False,False,False
Troxipide,Troxipide,0.039725843439067626,-0.014590482529667624,69.0,165.0,False,False,False
Tucatinib,Tucatinib,0.02002262359188088,0.011684842433492862,78.0,97.0,False,False,False
Venlafaxine,Venlafaxine,-0.0007988659368044909,-0.005557429475467423,109.0,142.0,False,False,False
Vibegron,Vibegron,-0.025379182689863673,0.013608181084444292,143.0,93.0,False,False,False
Voglibose,Voglibose,-0.03969613127950308,0.006132949120788386,172.0,110.0,False,False,False
Vorapaxar,Vorapaxar,0.05367110777592315,0.0057604324338825005,59.0,112.0,False,False,False
Vortioxetine,Vortioxetine,0.2151392012314898,0.21880935809235885,12.0,9.0,False,True,False
Zafirlukast,Zafirlukast,-0.11902078214114989,-0.02105121561191786,216.0,181.0,False,False,False
Zileuton,Zileuton,0.01691576463264833,0.01684947249321695,84.0,84.0,False,False,False
β-Naphthoflavone,β-Naphthoflavone,-0.03912274204734442,0.028705390622706568,171.0,65.0,False,False,False
