target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio,case_order,representation_order,case_label,representation_label,log2_discrepancy_ratio
pRb,Biohub_OPS0077,CPSF2,phase172,23,4,True,0.8077148784689822,1.0576002479148363,1.2715223298622935,0.8317590836406112,1.4897541999816897,1.406538486480713,1.0591634511947632,2,0,"pRb
OPS0077",Engineered 172D,0.08292524469562954
pRb,Biohub_OPS0077,CPSF3,phase172,24,4,True,0.8234987657011862,1.3589068598451697,1.146615738296275,1.1851458291199912,1.4442400932312012,1.548421859741211,0.9327174425125122,2,0,"pRb
OPS0077",Engineered 172D,-0.10048799776062288
pRb,Biohub_OPS0077,CPSF6,phase172,24,4,True,0.9583528051758524,7.499741098073144,9.397451753883209,0.7980611440728183,1.5409135818481443,1.9143102169036863,0.8049445748329163,2,0,"pRb
OPS0077",Engineered 172D,-0.31303864627693084
pRb,Biohub_OPS0077,CRAT,phase172,24,4,True,0.8887059006340914,1.8087903362608977,2.4419940569107315,0.7407021860442714,1.3137402534484863,1.5230515003204346,0.862571120262146,2,0,"pRb
OPS0077",Engineered 172D,-0.21328468086927696
pRb,Biohub_OPS0077,CREBBP,phase172,24,4,True,0.8318953081068896,1.4643249044765856,2.1877636415469146,0.6693250023303234,2.27912712097168,2.3226189613342285,0.981274664402008,2,0,"pRb
OPS0077",Engineered 172D,-0.027271083307056142
pRb,Biohub_OPS0077,CSE1L,phase172,24,4,True,0.9221574827018912,0.9607047748311804,0.860779433208212,1.1160870459584942,1.1092075109481812,1.0311813354492188,1.0756667852401731,2,0,"pRb
OPS0077",Engineered 172D,0.10523123613567932
pRb,Biohub_OPS0077,CSNK2A2,phase172,24,4,True,0.8085158855721131,9.653185763506777,2.4804059593101027,3.8917765566857865,1.3913966417312622,1.73119854927063,0.8037186861038208,2,0,"pRb
OPS0077",Engineered 172D,-0.31523747057465556
pRb,Biohub_OPS0077,CSNK2A3,phase172,24,4,True,0.8165667249786492,0.6479485242107101,1.1656606028625236,0.5558637931311541,1.664379358291626,1.741932034492493,0.9554789066314696,2,0,"pRb
OPS0077",Engineered 172D,-0.06570407059522815
pRb,Biohub_OPS0077,CTDSP1,phase172,24,4,True,0.8390826931108395,1.3943280456586304,1.5484698413888085,0.9004554098438692,1.4468907117843628,1.9886757135391235,0.7275649309158325,2,0,"pRb
OPS0077",Engineered 172D,-0.45885208902430774
pRb,Biohub_OPS0077,CTDSPL2,phase172,24,4,True,0.7316660509411812,0.9881760230602944,1.5413624220611228,0.6411055627909347,1.4703402519226074,1.4999923706054688,0.9802318215370178,2,0,"pRb
OPS0077",Engineered 172D,-0.028805112770924946
pRb,Biohub_OPS0077,CTPS2,phase172,24,4,True,0.7982856132406835,9.537650299505644,2.686352674336442,3.55040884639674,1.2167737483978271,1.4774638414382937,0.8235557079315186,2,0,"pRb
OPS0077",Engineered 172D,-0.2800618531467191
pRb,Biohub_OPS0077,CTSG,phase172,24,4,True,0.8923716609939597,0.515672358338542,1.399564509490097,0.3684520112091273,1.0383219718933103,1.8695242404937744,0.5553936958312988,2,0,"pRb
OPS0077",Engineered 172D,-0.8484172933959612
pRb,Biohub_OPS0077,CTU1,phase172,24,4,True,0.8873513395678964,2.381682492102834,1.3962662164940411,1.705750997888588,1.5427478551864624,1.6127229928970337,0.9566105604171752,2,0,"pRb
OPS0077",Engineered 172D,-0.06399637697168166
pRb,Biohub_OPS0077,CTU2,phase172,24,4,True,0.8818628860984158,0.9212851621692923,1.924806507169278,0.4786378052743509,1.3546026945114136,1.4076586961746216,0.9623090624809264,2,0,"pRb
OPS0077",Engineered 172D,-0.055427779582979064
