split_label,unit,consensus,lo,hi,q25,q75,n_methods
Gene,nucleolus-gc_npm3,0.8214593877394993,0.4757480818778276,0.8391794413328171,0.7361166233817736,0.8265995272745688,10
Gene,oxidative_stress_cellrox_live-cell_dye,0.661024148389697,0.5535264488581257,0.6886534954110781,0.6516314591261714,0.6697312945189575,10
Gene,p21,0.607278133481741,0.4811974871406952,0.6170539314548175,0.5973892613624533,0.6122177675490579,10
Gene,p53,0.5697864287098249,0.4397987174491087,0.5897567549347877,0.544096601648877,0.5727351389576991,10
Gene,peroxisome_peroxi_spy650_live_cell_dye,0.7845023048420747,0.5731824569404125,0.8212579548358917,0.764050043215199,0.8013533478602767,10
Gene,plasma_membrane_atp1b3,0.749630705267191,0.5271036412566901,0.7633020480473836,0.7330044320474068,0.7539384606294334,10
Gene,plasma_membrane_slc3a2,0.9073366475601992,0.8689523647228876,0.914856743812561,0.9066311087459327,0.9120115866263708,10
Gene,plasma_membrane_wga,0.7419182704554664,0.6431794361935721,0.7558330491185188,0.7232072096318006,0.748581926814384,10
Gene,prb,0.44744498382729936,0.3402884962471822,0.4965402694481114,0.3890345421883588,0.4712958590406924,10
Gene,proteasome_psmb7,0.5960753543690468,0.4488783658404524,0.6091717668808997,0.5748854783712886,0.6053568553722773,10
Gene,ps6,0.5775233318238557,0.3933779446555612,0.5879210577206686,0.5216933804136351,0.5855754704517313,10
Gene,recycling_endosome_tfrc,0.8625896345824002,0.6851580602427323,0.8927435214320818,0.8503777942930659,0.8787664088110129,10
Gene,stress_granule_g3bp1,0.927926774074634,0.8668501434226832,0.9353356584906578,0.9236153125142057,0.9334290746599436,10
Gene,trans-golgi_vamp3,0.663585352525115,0.4687455701690244,0.6881389747063318,0.6385953196634849,0.6691805481600265,10
Whole-screen,5xupre,0.7549251972387234,0.697717243184646,0.7672998197376728,0.7493004033342003,0.758479749597609,10
Whole-screen,actin_filament_fastact_spy555_live_cell_dye,0.8885264580448469,0.7004419403043964,0.9052405109008154,0.8578695320213834,0.8966472494726379,10
Whole-screen,autophagosome_atg101,0.7061929733802874,0.6149864823867877,0.724029116332531,0.6816169649828225,0.7116184925350051,10
Whole-screen,autophagosome_map1lc3b,0.6944267202505015,0.4620408234768547,0.7245337571948767,0.6586080375483208,0.7093130195409888,10
Whole-screen,caspase_activity_cellevent-caspase_live-cell_dye,0.552706390095409,0.269222735942094,0.5651070116631066,0.4152196676053185,0.558108259186459,10
Whole-screen,cell_proliferation_marker_mki67,0.549796842969954,0.489876945503056,0.6176641165899734,0.5314579913247144,0.5829752736608498,10
Whole-screen,chaperones_hspa1b,0.7602883614599705,0.4144164067159484,0.7919012904167175,0.685529219529902,0.767763720980535,10
