reporter_slug,method_id,fold,n_keys,max_truth_delta,reordered,run_state
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,mlp,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,multitab_pilot,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,midas_ops,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scpair_ops,2,915,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,ridge,3,985,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,gbdt,3,985,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,3,985,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,mlp,3,985,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,3,985,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,3,985,0.0,False,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,3,985,0.0,False,checkpoint_average
