reporter_slug,method_id,fold,recoverability_r,n_gene_screen_pairs,n_endpoints,run_state
late_endosome_rab7a,mlp,1,0.9225405544481856,374,24,checkpoint_average
late_endosome_rab7a,tabm_specialists,1,0.922838804014654,374,24,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,1,0.8632052567969564,374,24,checkpoint_average
late_endosome_rab7a,resmlp_52head,1,0.9189170620237888,374,24,checkpoint_average
late_endosome_rab7a,multitab_pilot,1,0.9155933471501606,374,24,checkpoint_average
late_endosome_rab7a,midas_ops,1,0.8169056836616709,374,24,checkpoint_average
late_endosome_rab7a,scpair_ops,1,0.9115093881813228,374,24,checkpoint_average
late_endosome_rab7a,ridge,2,0.9053036335720286,366,24,checkpoint_average
late_endosome_rab7a,gbdt,2,0.9184707379251046,366,24,checkpoint_average
late_endosome_rab7a,catboost_multirmse,2,0.9107997785714608,366,24,checkpoint_average
late_endosome_rab7a,mlp,2,0.9230259342214984,366,24,checkpoint_average
late_endosome_rab7a,tabm_specialists,2,0.9208567742851111,366,24,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,2,0.8510887369411151,366,24,checkpoint_average
late_endosome_rab7a,resmlp_52head,2,0.918911632564518,366,24,checkpoint_average
late_endosome_rab7a,multitab_pilot,2,0.9092241673427772,366,24,checkpoint_average
late_endosome_rab7a,midas_ops,2,0.770610284122211,366,24,checkpoint_average
late_endosome_rab7a,scpair_ops,2,0.906462550702364,366,24,checkpoint_average
late_endosome_rab7a,ridge,3,0.8974152803861037,394,24,checkpoint_average
late_endosome_rab7a,gbdt,3,0.9186911404843526,394,24,checkpoint_average
late_endosome_rab7a,catboost_multirmse,3,0.9058441369451156,394,24,checkpoint_average
late_endosome_rab7a,mlp,3,0.9176666601445498,394,24,checkpoint_average
late_endosome_rab7a,tabm_specialists,3,0.8712874184798273,394,24,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,3,0.8528774877134606,394,24,checkpoint_average
late_endosome_rab7a,resmlp_52head,3,0.913192149999781,394,24,checkpoint_average
late_endosome_rab7a,multitab_pilot,3,0.9059820391209468,394,24,checkpoint_average
late_endosome_rab7a,midas_ops,3,0.8039140536004608,394,24,checkpoint_average
late_endosome_rab7a,scpair_ops,3,0.9039883429793236,394,24,checkpoint_average
late_endosome_rab7a,ridge,4,0.9174030700929344,444,24,checkpoint_average
late_endosome_rab7a,gbdt,4,0.927004846530927,444,24,checkpoint_average
